Region,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Totals,"31,107,889","37,547,315","38,059,555","37,960,773","38,517,104","39,955,673","40,377,757","40,824,553","41,347,945","42,390,705","43,289,646","43,738,901","44,525,458"
Europe,"4,915,557","4,993,135","4,990,294","4,969,090","4,887,221","4,817,437","4,889,987","4,809,392","4,803,059","4,764,822","4,789,662","4,785,267","4,818,662"
Northern Europe,"974,619","953,460","939,589","951,374","937,715","923,564","946,984","929,873","952,872","930,580","928,644","950,872","941,796"
United Kingdom,"677,751","691,300","681,285","687,637","694,597","669,794","684,573","679,483","695,489","679,112","683,473","696,896","702,567"
Ireland,"156,474","133,433","135,722","134,897","121,982","124,457","132,540","132,277","128,350","125,022","120,144","125,840","120,187"
Denmark,"30,126", - , - , - ,"32,966","29,441","32,171","26,360","28,521","26,920","29,039","33,715","29,376"
Norway,"33,090", - , - , - ,"26,546","25,637","26,626","27,022","28,520","22,798","24,982","22,669","23,024"
Sweden,"49,724", - , - , - ,"41,329","48,366","47,554","42,726","44,870","51,232","46,335","48,294","43,648"
Other Northern Europe,"90,670","128,727","122,582","128,840","20,295","25,869","23,520","22,005","27,122","25,496","24,671","23,458","22,994"
Western Europe,"1,095,847","1,013,494","1,008,989","1,011,362","995,259","961,791","965,507","959,631","959,298","959,793","964,714","939,383","949,591"
Austria,"63,648","61,012","51,461","52,707","51,866","48,094","48,179","44,824","44,688","48,562","43,401","44,943","47,831"
Belgium,"33,105", - , - , - ,"31,896","32,408","26,922","36,041","30,726","35,373","34,232","35,406","36,897"
France,"151,154","149,481","154,786","157,636","156,379","147,959","160,833","166,215","170,394","166,291","173,561","175,250","185,775"
Germany,"706,704","635,238","631,990","641,417","622,608","604,616","608,288","592,431","584,184","582,727","585,298","563,985","552,640"
Netherlands,"94,570","90,114","92,782","85,635","90,594","85,987","80,789","79,554","85,085","83,382","88,580","79,902","85,739"
Switzerland,"44,445", - , - , - ,"40,155","40,007","37,516","38,702","41,491","41,504","37,115","38,144","36,859"
Other Western Europe,"79,771","77,649","77,970","73,967","1,761","2,720","2,980","1,864","2,730","1,954","2,527","1,753","3,850"
Southern Europe,"934,665","870,700","863,290","803,806","811,818","779,294","795,215","764,569","783,755","775,030","787,767","760,352","761,390"
Greece,"165,750","162,203","159,272","148,336","144,173","135,639","138,269","134,956","137,084","136,906","141,325","135,484","130,967"
Italy,"473,338","419,811","417,511","392,798","375,666","364,972","373,897","354,028","354,305","356,831","352,492","335,763","333,911"
Portugal,"203,119","192,316","198,119","173,303","203,409","189,333","183,869","179,619","182,473","172,922","176,803","176,638","172,945"
Spain,"82,858","88,150","79,880","80,858","80,419","83,242","91,285","88,665","102,475","103,689","108,953","105,975","117,884"
Other Southern Europe,"9,600","8,220","8,508","8,511","8,151","6,108","7,895","7,301","7,418","4,682","8,194","6,492","5,683"
Eastern Europe,"1,906,056","2,144,279","2,166,658","2,187,899","2,132,368","2,143,055","2,171,906","2,146,969","2,096,647","2,089,753","2,097,040","2,122,951","2,153,855"
Albania,"39,341", - , - , - ,"74,191","77,407","86,010","83,746","81,047","81,622","89,744","93,033","96,178"
Belarus,"38,503", - , - , - ,"62,183","56,217","56,618","49,823","50,934","56,791","56,958","62,514","67,762"
Bulgaria,"34,949", - , - , - ,"53,516","62,684","65,202","64,964","67,941","63,318","67,377","70,800","67,028"
Croatia,"39,138","44,198","44,416","45,607","44,474","47,740","41,484","45,295","39,026","43,067","36,978","39,747","35,962"
Czechoslovakia (inc. Czech Republic and Slovakia),"83,081","77,187","77,670","76,906","67,340","71,755","72,905","66,367","64,354","68,928","66,631","65,982","66,715"
Hungary,"92,017","84,070","79,047","80,333","77,799","78,368","77,485","69,154","74,213","65,845","70,255","62,296","64,742"
Latvia,"27,521", - , - , - ,"26,281","23,218","22,257","24,131","24,497","21,097","21,364","24,691","23,201"
Lithuania,"27,905", - , - , - ,"36,160","33,888","36,303","37,158","35,514","38,186","31,458","33,640","35,001"
Macedonia,"19,397", - , - , - ,"25,429","26,759","25,981","26,321","20,237","28,140","26,277","26,171","24,670"
Moldova,"21,701", - , - , - ,"39,122","33,659","34,152","41,340","34,913","41,193","43,564","42,403","47,156"
Poland,"466,742","499,702","484,777","478,569","443,173","475,503","461,618","440,312","432,601","424,460","419,332","424,928","418,775"
Romania,"135,966","156,318","168,867","167,966","178,295","151,767","164,606","165,819","157,302","157,315","159,546","161,629","165,199"
Russia,"340,177","383,077","403,072","413,370","403,781","383,166","399,216","399,128","390,934","390,977","386,529","397,236","403,670"
Ukraine,"275,153","314,355","311,011","325,780","320,110","326,493","340,468","342,971","345,187","332,145","345,620","347,759","354,494"
Bosnia and Herzegovina,"98,766","119,574","124,589","119,163","113,303","125,793","122,529","121,938","112,240","111,317","107,969","101,638","101,875"
Serbia,"9,576", - , - , - , - ,"30,715","30,758","35,765","36,160","33,628","36,969","37,654","38,203"
Yugoslavia,"113,987","119,841","103,921","108,954","98,642","97,608","90,296", - , - , - , - ,,
Other Eastern Europe,"261,664","345,957","369,288","371,251","68,569","71,030","74,776","132,737","129,547","131,724","130,469","130,830","143,224"
"Europe, n.e.c.","4,370","11,202","11,768","14,649","10,061","9,733","10,375","8,350","10,487","9,666","11,497","11,709","12,030"
Asia,"8,226,254","10,052,929","10,184,906","10,355,577","10,652,379","11,283,574","11,562,022","11,931,658","12,176,983","12,750,422","13,249,179","13,461,081","13,907,844"
Eastern Asia,"2,739,510","3,300,626","3,339,300","3,294,260","3,334,141","3,599,931","3,640,241","3,719,150","3,803,484","3,950,698","4,085,872","4,130,659","4,267,303"
"China (inc. mainland China, Hong Kong, and Taiwan)","1,518,652",,,,,,,"2,292,233","2,383,831","2,519,964","2,676,697","2,716,548","2,843,838"
China (exc. Hong Kong and Taiwan),"988,857","1,334,079","1,363,645","1,360,545","1,432,115","1,608,095","1,650,411","1,710,424","1,804,965","1,929,535","2,065,431","2,130,352","2,216,810"
Hong Kong,"203,580","217,237","206,887","210,454","210,273","199,971","215,814","219,231","213,034","225,834","233,373","212,253","235,705"
Taiwan,"326,215","355,025","359,670","342,444","347,993","358,460","364,934","362,578","365,832","364,595","377,893","373,943","391,323"
Japan,"347,539","353,576","352,933","333,860","331,090","319,256","318,225","329,499","339,970","336,027","335,767","355,156","344,453"
Korea,"864,125","1,023,956","1,042,580","1,030,691","1,004,329","1,100,422","1,082,613","1,084,662","1,070,335","1,079,784","1,060,019","1,041,727","1,063,074"
Other Eastern Asia,"9,194","16,753","13,585","16,266","8,341","13,727","8,244","12,756","9,348","14,923","13,389","17,228","15,938"
South Central Asia,"1,745,201","2,430,646","2,470,619","2,611,962","2,713,675","2,863,344","3,009,592","3,183,392","3,285,550","3,531,127","3,797,442","3,889,485","4,113,013"
Afghanistan,"45,195","51,935","61,623","60,718","64,768","54,458","65,560","65,633","67,169","73,386","70,653","94,726","100,367"
Bangladesh,"95,294","135,088","143,619","145,479","151,091","153,691","184,469","187,992","203,179","210,190","228,682","234,640","248,696"
India,"1,022,552","1,519,157","1,501,782","1,622,522","1,665,219","1,780,322","1,856,777","1,967,998","2,034,677","2,205,912","2,389,639","2,434,524","2,610,537"
Iran,"283,226","326,312","326,205","344,935","362,699","356,756","362,371","378,520","363,972","365,288","394,223","386,073","395,429"
Kazakhstan, - , - , - , - ,"25,389","22,401","23,910","24,162","26,334","26,527","29,859","32,017","30,035"
Nepal,"11,157", - , - , - ,"45,304","69,458","73,528","85,959","87,456","109,624","120,886","129,450","152,685"
Pakistan,"223,477","259,282","286,302","282,483","283,988","299,581","303,915","314,331","342,603","371,359","379,435","382,852","391,976"
Sri Lanka,"25,380", - , - , - ,"42,329","43,585","45,762","46,411","51,268","43,071","52,971","55,049","49,116"
