DATE,CHANGE
1999-01-01,3.8
1999-04-01,3.1
1999-07-01,5.3
1999-10-01,7.0
2000-01-01,1.5
2000-04-01,7.5
2000-07-01,0.5
2000-10-01,2.5
2001-01-01,-1.1
2001-04-01,2.4
2001-07-01,-1.7
2001-10-01,1.1
2002-01-01,3.5
2002-04-01,2.4
2002-07-01,1.8
2002-10-01,0.6
2003-01-01,2.2
2003-04-01,3.5
2003-07-01,7.0
2003-10-01,4.7
2004-01-01,2.2
2004-04-01,3.1
2004-07-01,3.8
2004-10-01,4.1
2005-01-01,4.5
2005-04-01,1.9
2005-07-01,3.6
2005-10-01,2.6
2006-01-01,5.4
2006-04-01,0.9
2006-07-01,0.6
2006-10-01,3.5
2007-01-01,0.9
2007-04-01,2.3
2007-07-01,2.2
2007-10-01,2.5
2008-01-01,-2.3
2008-04-01,2.1
2008-07-01,-2.1
2008-10-01,-8.4
2009-01-01,-4.4
2009-04-01,-0.6
2009-07-01,1.5
2009-10-01,4.5
2010-01-01,1.5
2010-04-01,3.7
2010-07-01,3.0
2010-10-01,2.0
2011-01-01,-1.0
2011-04-01,2.9
2011-07-01,-0.1
2011-10-01,4.7
2012-01-01,3.2
2012-04-01,1.7
2012-07-01,0.5
2012-10-01,0.5
2013-01-01,3.6
2013-04-01,0.5
2013-07-01,3.2
2013-10-01,3.2
2014-01-01,-1.1
2014-04-01,5.5
2014-07-01,5.0
2014-10-01,2.3
2015-01-01,3.2
2015-04-01,3.0
2015-07-01,1.3
2015-10-01,0.1
2016-01-01,2.0
2016-04-01,1.9
2016-07-01,2.2
2016-10-01,2.0
2017-01-01,2.3
2017-04-01,2.2
2017-07-01,3.2
2017-10-01,3.5
2018-01-01,2.5
2018-04-01,3.5
2018-07-01,2.9
2018-10-01,1.1
2019-01-01,3.1
2019-04-01,2.0
2019-07-01,1.9
